/m/0100nn	"Fort Bliss"@en	"/wikipedia/en_title/Fort_Bliss"
/m/01012t	"Carmine"@en	"/wikipedia/en_title/Carmine$002C_Texas"
/m/0106f8	"West"@en	"/wikipedia/en_title/West$002C_Texas"
/m/010_8s	"Canton"@en	"/wikipedia/en_title/Canton$002C_Wisconsin"
/m/010bg8	"Brookshire"@en	"/wikipedia/en_title/Brookshire$002C_Texas"
/m/010bvf	"Shamrock"@en	"/wikipedia/en_title/Shamrock$002C_Texas"
/m/010d_k	"Clawson"@en	"/wikipedia/en_title/Clawson$002C_Utah"
/m/010h7d	"Torrey"@en	"/wikipedia/en_title/Torrey$002C_Utah"
/m/010j6s	"Underhill"@en	"/wikipedia/en_title/Underhill$002C_Vermont"
/m/010nnp	"Linton Hall"@en	"/wikipedia/en_title/Linton_Hall$002C_Virginia"
/m/010wx	"Aria Giovanni"@en	"/wikipedia/en_title/Aria_Giovanni"
/m/010xv6	"Bluefield"@en	"/wikipedia/en_title/Bluefield$002C_West_Virginia"
/m/010yc2	"Bruceton Mills"@en	"/wikipedia/en_title/Bruceton_Mills$002C_West_Virginia"
/m/0112xx	"South Lancaster"@en	"/wikipedia/en_title/South_Lancaster$002C_Wisconsin"
/m/0117vy	"Lorain"@en	"/wikipedia/en_title/Lorain$002C_Wisconsin"
/m/0118gx	"Bloom"@en	"/wikipedia/en_title/Bloom$002C_Wisconsin"
/m/011_jt	"George Pachymeres"@en	"/wikipedia/en_title/George_Pachymeres"
/m/011g54	"Red Butte"@en	"/wikipedia/en_title/Red_Butte$002C_Wyoming"
/m/011l84	"Lynette Chico"@en	"/wikipedia/en_title/Lynette_Chico"
/m/011q5n	"Fulton"@en	"/wikipedia/en_title/Fulton$002C_Oswego_County$002C_New_York"
/m/011q92	"Poland"@en	"/wikipedia/en_title/Poland$002C_Herkimer_County$002C_New_York"
/m/0123w2	"Cádiz"@en	"/wikipedia/en_title/Province_of_C$00E1diz"
/m/0128dg	"Rosenholm Municipality"@en	"/wikipedia/en_title/Rosenholm_Municipality"
/m/012ynr	"Conradin"@en	"/wikipedia/en_title/Conradin"
/m/0132sy	"Texas Guinan"@en	"/wikipedia/en_title/Texas_Guinan"
